duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
146.0,2021-09-05 14:02:53.000001,956.8334369999999,28.3,73.0,8.391666666666667,101.55000000000001,121.75802,24.817729999999997,514.64,1.0
147.0,2021-09-05 14:02:54.000001,956.70625,28.32,72.4,6.499999999999999,114.04000000000002,121.75796000000001,24.81776,515.99,1.0
148.0,2021-09-05 14:02:55.000001,956.454687,28.32,72.8,8.202777777777778,98.97000000000003,121.7579,24.81778,517.2,1.0
149.0,2021-09-05 14:02:56.000001,956.280234,28.29,73.2,7.561111111111111,108.51999999999998,121.75782,24.8178,518.53,1.0
150.0,2021-09-05 14:02:57.000001,956.088593,28.3,73.4,6.466666666666667,109.39999999999998,121.75776,24.81782,520.23,1.0
151.0,2021-09-05 14:02:58.000001,955.8825,28.27,73.6,6.147222222222222,109.43,121.7577,24.81784,522.03,1.0
152.0,2021-09-05 14:02:59.000001,955.648437,28.26,73.7,6.575,102.88999999999999,121.75764,24.81786,523.76,1.0
153.0,2021-09-05 14:03:00.000001,955.348906,28.26,73.9,6.169444444444444,106.82,121.75758,24.817870000000003,525.28,1.0
154.0,2021-09-05 14:03:01.000001,955.148984,28.24,74.5,8.222222222222223,95.72000000000003,121.75751000000001,24.81789,527.43,1.0
155.0,2021-09-05 14:03:02.000001,954.9590619999999,28.23,74.2,4.530555555555555,108.94999999999999,121.75746000000001,24.81791,529.0,1.0
156.0,2021-09-05 14:03:03.000001,954.77625,28.23,73.5,7.761111111111111,106.37,121.7574,24.81793,530.59,1.0
157.0,2021-09-05 14:03:04.000001,954.609375,28.24,73.4,8.202777777777778,115.77999999999997,121.75733000000001,24.81796,532.03,1.0
158.0,2021-09-05 14:03:05.000001,954.286718,28.21,72.7,6.913888888888889,115.31,121.75726,24.817989999999998,534.31,1.0
159.0,2021-09-05 14:03:06.000001,954.0314060000001,28.19,72.9,7.727777777777778,96.25999999999999,121.75719,24.818,537.32,1.0
160.0,2021-09-05 14:03:07.000001,953.768671,28.2,73.2,7.694444444444444,106.22000000000003,121.75711000000001,24.81801,539.92,1.0
161.0,2021-09-05 14:03:08.000001,953.460781,28.19,73.6,6.397222222222222,112.39999999999998,121.75705,24.81804,542.76,1.0
162.0,2021-09-05 14:03:09.000001,953.2836710000001,28.18,74.4,10.055555555555555,107.95999999999998,121.75698,24.818070000000002,544.5,1.0
163.0,2021-09-05 14:03:10.000001,953.006093,28.19,74.1,7.355555555555555,112.94,121.7569,24.8181,546.15,1.0
163.0,2021-09-05 14:03:10.000001,952.518437,28.2,72.7,7.519444444444444,112.11000000000001,121.75676000000001,24.81816,550.33,1.0
164.0,2021-09-05 14:03:11.000001,952.79539,28.19,73.4,8.172222222222222,108.25,121.75683000000001,24.81813,548.06,1.0
166.0,2021-09-05 14:03:13.000001,952.228593,28.19,71.8,7.416666666666666,112.60000000000002,121.75668999999999,24.818179999999998,553.17,1.0
167.0,2021-09-05 14:03:14.000001,951.878984,28.2,71.6,9.450000000000001,103.31,121.75661000000001,24.8182,556.3,1.0
168.0,2021-09-05 14:03:15.000001,951.6725,28.2,72.5,4.669444444444444,105.81,121.75653999999999,24.81822,558.72,1.0
169.0,2021-09-05 14:03:16.000001,951.42375,28.19,72.6,8.630555555555555,116.76999999999998,121.75648000000001,24.81825,560.13,1.0
